originalPrice,price,sold,tagText,discount_rate,price_bucket,adjustable,bed,bedroom,bedside,bench,black,cabinet,cabinets,chair,chairs,charging,chest,closet,clothes,coffee,computer,conversation,couch,cushions,desk,dining,door,drawer,drawers,dresser,dressers,dressing,end,entryway,fabric,folding,frame,furniture,gaming,garden,glass,hanging,headboard,home,household,inch,kitchen,large,leather,led,legs,light,lights,living,lounge,makeup,metal,mirror,modern,nightstand,office,organizer,ottoman,outdoor,patio,piece,pieces,platform,portable,power,rack,rattan,room,round,seat,sectional,set,sets,shaped,shelf,shelves,shoe,shoes,simple,size,small,sofa,space,stand,station,steel,stool,storage,swing,table,tables,tv,upholstered,vanity,velvet,wardrobe,white,wicker,wood,wooden,title_sentiment,has_modern,has_wood,has_compact,tagText_encoded,price_bucket_encoded
78.4,39.46,7,1,49.66836734693878,1,0.0,0.0,0.22479851089251346,0.0,0.0,0.0,0.2886255272777703,0.0,0.0,0.0,0.0,0.36285081941982134,0.33736528128759924,0.40472045561641296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500238284530743,0.0,0.0,0.0,0.0,0.0,0.33414676825306855,0.0,0.0,0.19721661655623113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23633301249924718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112869944079127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2217512414149174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20469334871987413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
48.82,21.37,1,1,56.22695616550594,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26976672500165677,0.0,0.0,0.0,0.20321296300687414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14731801298344108,0.0,0.0,0.0,0.0,0.0,0.21277119030684608,0.3003204955067443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23364278143183298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654724360021166,0.0,0.46653766849630685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863085417537493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5514247805033974,-0.1,0,1,0,1,1
1294.04,123.4,53,1,90.46397329294302,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604914509920454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19955583542672756,0.0,0.0,0.35880468333238796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27237505564463693,0.28310596940274213,0.0,0.36803219458128306,0.0,0.0,0.0,0.0,0.3325196513338784,0.0,0.0,0.0,0.0,0.4713003978491442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19391566272991892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217131437178069,0.0,0.0,0.5,0,0,0,1,1
1474.17,734.58,5,1,50.16992612792283,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29139593682969733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2232309712758285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26750711398452187,0.0,0.0,0.0,0.0,0.27577177829678523,0.0,0.0,0.0,0.0,0.0,0.0,0.39699805284879597,0.0,0.0,0.0,0.0,0.0,0.0,0.25100189764465725,0.0,0.0,0.0,0.26360753958803473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28416225912614235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944583680206904,0.0,0.437266825402137,0.0,0.0,0.0,0.0,0.0,0.0642857142857143,1,0,0,1,3
671.47,331.24,39,1,50.66942678004974,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27678638307476977,0.0,0.0,0.0,0.3148698991675405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16610849219785775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4534451193440621,0.23565487628633822,0.2954103885643912,0.0,0.0,0.0,0.0,0.0,0.27678638307476977,0.0,0.0,0.0,0.27431655068511973,0.39230623495205713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21144809850178467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614136629015909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2677911428093484,0.0,0.0,0.0,0,0,0,1,1
56.58,26.03,1000,1,53.994344291268995,1,0.3221054024831445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494404129232515,0.0,0.0,0.0,0.2632304695994045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35193461308405644,0.0,0.1908273427260179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134778364224665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418115822318252,0.0,0.0,0.0,0.0,0.0,0.1854338689348542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
98.79,49.39,1,1,50.0050612410163,1,0.0,0.0,0.21417491752673098,0.6598678044753984,0.0,0.0,0.2749855782202354,0.3781532530135403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937970161166503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232120796874486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29752231773857596,0.0,0.0,0.0,0.0,0.0,0.0,0.19501989095164174,0.0,0.18258585894142362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024999999999999994,1,0,0,1,1
86.61,48.56,3,1,43.93257129661702,1,0.314107100546508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133882197812026,0.0,0.0,0.0,0.0,0.0,0.0,0.35842976387103176,0.0,0.0,0.0,0.34319561250940156,0.0,0.18608884814280893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3056937683291608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2946600201411483,0.0,0.3793581921907231,0.0,0.0,0.0,0.0,0.0,0.0,0.18082930141879935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0,0,0,1,1
15.71,9.71,110,1,38.192234245703375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25162475728549644,0.3460280394415644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719341450552649,0.0,0.0,0.0,0.0,0.0,0.24832423379149585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20603595762838603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27138110461948534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933235179336254,0.0,0.0,0.0,0.0,0.0,0.0,0.3006566417542579,0.0,0.5658738575254219,0.36027476540753467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1784523866457073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
82.27,40.13,1,1,51.22158745593776,1,0.0,0.0,0.19637896899754106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29471479082217783,0.353554769960948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17228404082718443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3037901180309178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33460665171002646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31046212935156603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17881554741029085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6223214166178412,0.0,0.0,0.0,0.0,0.10714285714285714,0,0,0,1,1
